feature,importance
missing_returns,0.23724005
avg_itc_ratio,0.14112549
filing_rate,0.11361389
avg_monthly_sales,0.055844355
sales_volatility,0.04948602
total_tax_paid,0.046423975
total_outward_supply,0.0409493
total_itc_claimed,0.040177625
spike_ratio,0.03173209
unique_buyers,0.023780491
unique_suppliers,0.023250142
invoices_issued,0.023215711
annual_turnover,0.022812327
invoice_match_rate,0.02274479
invoices_received,0.021855818
avg_delay_days,0.021676471
companies_same_address,0.021415994
years_old,0.021400794
industry_encoded,0.02087232
state_encoded,0.020382417
size_encoded,0.0
